Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,S,3898895,3387,0.480,1.760,2.400,0.055,-0.230,-0.946,,,,,,,,,,,,
1,A,7452514,996,,,,,,,0.101,-0.232,-0.993,,,,,,,,,
1,B,3901604,5292,,,,,,,,,,,,,0.000,0.000,0.112,,,
1,S,3901604,2709,0.800,1.760,2.400,0.055,-0.230,-0.946,,,,,,,,,,,,
1,A,7457492,996,,,,,,,0.102,-0.232,-0.994,,,,,,,,,
1,B,3907023,2288,,,,,,,,,,,,,,,,66.688,-90.750,11.062
1,S,3907023,5419,1.120,1.120,2.080,0.053,-0.231,-0.946,,,,,,,,,,,,
1,A,7459483,996,,,,,,,0.099,-0.236,-0.993,,,,,,,,,
1,B,3909055,2288,,,,,,,,,,0.039,-0.193,-0.990,,,,,,
1,S,3909055,2032,1.440,1.120,2.080,0.053,-0.232,-0.946,,,,,,,,,,,,
1,A,7462470,996,,,,,,,0.102,-0.237,-0.994,,,,,,,,,
1,B,3911087,3288,,,,,,,,,,0.037,-0.196,-0.992,,,,,,
1,S,3911087,2032,1.760,1.120,2.080,0.053,-0.233,-0.947,,,,,,,,,,,,
1,A,7465457,996,,,,,,,0.101,-0.238,-0.995,,,,,,,,,
1,B,3914474,2288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,3914474,3387,2.080,1.120,1.760,0.053,-0.236,-0.948,,,,,,,,,,,,
1,A,7467448,996,,,,,,,0.099,-0.236,-0.997,,,,,,,,,
1,B,3917164,3288,,,,,,,,,,,,,,,,67.000,-89.312,10.312
1,S,3917164,2690,1.760,0.800,2.080,0.053,-0.236,-0.948,,,,,,,,,,,,
1,A,7471431,996,,,,,,,0.101,-0.239,-0.994,,,,,,,,,
1,B,3919893,2293,,,,,,,,,,0.038,-0.197,-0.993,,,,,,
1,S,3919893,2729,1.120,1.440,2.400,0.054,-0.238,-0.947,,,,,,,,,,,,
1,A,7473422,996,,,,,,,0.101,-0.239,-0.995,,,,,,,,,
1,B,3922603,4288,,,,,,,,,,,,,0.112,-0.112,0.000,,,
1,S,3922603,2710,1.440,1.440,2.400,0.054,-0.238,-0.947,,,,,,,,,,,,
1,A,7477404,995,,,,,,,0.100,-0.241,-0.994,,,,,,,,,
1,B,3926667,3288,,,,,,,,,,,,,,,,67.438,-90.875,10.125
1,S,3926667,4064,1.440,1.760,1.440,0.055,-0.239,-0.948,,,,,,,,,,,,
1,A,7481387,996,,,,,,,0.101,-0.240,-0.996,,,,,,,,,
1,B,3930054,2288,,,,,,,,,,0.037,-0.201,-0.993,,,,,,
1,S,3930054,3387,1.120,1.760,1.440,0.056,-0.240,-0.948,,,,,,,,,,,,
1,A,7483378,996,,,,,,,0.099,-0.242,-0.993,,,,,,,,,
1,B,3932086,5288,,,,,,,,,,,,,0.112,-0.112,0.000,,,
1,S,3932086,2032,0.800,1.760,1.440,0.055,-0.240,-0.948,,,,,,,,,,,,
1,A,7488356,996,,,,,,,0.101,-0.238,-0.995,,,,,,,,,
1,B,3937505,2288,,,,,,,,,,,,,,,,67.688,-90.000,9.812
1,S,3937505,5419,1.120,1.120,1.760,0.054,-0.240,-0.947,,,,,,,,,,,,
1,A,7490347,996,,,,,,,0.102,-0.241,-0.992,,,,,,,,,
1,B,3940195,2293,,,,,,,,,,0.036,-0.201,-0.992,,,,,,
1,S,3940195,2690,1.440,1.440,2.080,0.054,-0.239,-0.946,,,,,,,,,,,,
1,A,7493334,996,,,,,,,0.103,-0.239,-0.990,,,,,,,,,
1,B,3942246,4288,,,,,,,,,,,,,0.000,-0.112,-0.112,,,
1,S,3942246,2051,2.080,1.760,2.080,0.054,-0.239,-0.945,,,,,,,,,,,,
1,A,7497316,995,,,,,,,0.101,-0.238,-0.990,,,,,,,,,
1,B,3946310,2288,,,,,,,,,,0.037,-0.200,-0.991,,,,,,
